                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.70138,                0.34944,                 1.0334,                0.98217,                      1,                  0.995,                0.74167,                0.95032,                0.40311,                 1.2128,              0.0013754,              0.0013754,              0.0013754
                    108,                 0.7066,                0.34968,                 1.0416,                0.98426,                      1,                  0.995,                0.77028,                0.92543,                0.38716,                 1.1865,              0.0013727,              0.0013727,              0.0013727
                    109,                0.73212,                0.36483,                  1.054,                0.98206,                      1,                  0.995,                0.77058,                0.88241,                0.37267,                 1.1571,              0.0013699,              0.0013699,              0.0013699
                    110,                0.70716,                0.36191,                 1.0572,                0.98174,                      1,                  0.995,                0.78517,                0.88333,                 0.3644,                 1.1493,              0.0013672,              0.0013672,              0.0013672
                    111,                0.74034,                0.37328,                 1.0516,                0.98022,                      1,                  0.995,                0.76806,                0.88031,                 0.3825,                 1.1504,              0.0013644,              0.0013644,              0.0013644
                    112,                0.67937,                0.34475,                 1.0235,                0.97471,                      1,                  0.995,                  0.769,                0.87532,                0.36647,                 1.1556,              0.0013617,              0.0013617,              0.0013617
                    113,                0.73708,                0.37021,                 1.0447,                0.97117,                      1,                  0.995,                0.77747,                0.88968,                0.36009,                 1.1617,              0.0013589,              0.0013589,              0.0013589
                    114,                0.68403,                0.33233,                 1.0485,                   0.96,                      1,                  0.995,                0.76495,                0.89118,                0.36927,                 1.1546,              0.0013562,              0.0013562,              0.0013562
                    115,                 0.6934,                0.35805,                  1.036,                0.95816,                      1,                  0.995,                0.76265,                0.89486,                0.37004,                  1.161,              0.0013534,              0.0013534,              0.0013534
                    116,                0.70667,                0.35899,                 1.0273,                0.96227,                      1,                  0.995,                0.77476,                0.89097,                 0.3663,                 1.1496,              0.0013507,              0.0013507,              0.0013507
                    117,                0.69882,                0.34312,                 1.0398,                0.97956,                      1,                  0.995,                0.78408,                0.88425,                0.34361,                 1.1386,              0.0013479,              0.0013479,              0.0013479
                    118,                0.69931,                0.34641,                 1.0395,                0.98744,                      1,                  0.995,                0.77699,                0.91197,                0.34092,                 1.1526,              0.0013452,              0.0013452,              0.0013452
                    119,                0.69951,                0.35293,                 1.0414,                0.98757,                      1,                  0.995,                0.77909,                0.90807,                0.35442,                 1.1658,              0.0013424,              0.0013424,              0.0013424
                    120,                0.70001,                0.34849,                 1.0435,                0.98877,                      1,                  0.995,                0.76681,                0.87784,                0.35897,                 1.1519,              0.0013397,              0.0013397,              0.0013397
                    121,                0.71623,                0.35317,                 1.0561,                0.98678,                      1,                  0.995,                0.75636,                0.88732,                0.36409,                 1.1515,              0.0013369,              0.0013369,              0.0013369
                    122,                0.70998,                0.34614,                 1.0376,                0.98705,                      1,                  0.995,                0.77103,                0.89579,                0.34916,                 1.1552,              0.0013342,              0.0013342,              0.0013342
                    123,                0.68577,                0.33757,                 1.0368,                0.98799,                      1,                  0.995,                0.78815,                0.89359,                0.35022,                 1.1463,              0.0013314,              0.0013314,              0.0013314
                    124,                0.68917,                0.33351,                 1.0536,                0.98307,                      1,                  0.995,                0.79095,                0.86338,                 0.3611,                 1.1246,              0.0013287,              0.0013287,              0.0013287
                    125,                0.68328,                 0.3586,                  1.038,                0.98081,                      1,                  0.995,                0.76548,                0.91952,                0.38148,                 1.1453,              0.0013259,              0.0013259,              0.0013259
                    126,                 0.7235,                0.34771,                  1.035,                 0.9817,                      1,                  0.995,                 0.7576,                0.93192,                0.38892,                 1.1612,              0.0013232,              0.0013232,              0.0013232
                    127,                0.66817,                0.33963,                 1.0122,                0.98092,                      1,                  0.995,                0.76221,                0.89449,                0.38088,                 1.1373,              0.0013204,              0.0013204,              0.0013204
                    128,                0.68335,                   0.34,                 1.0236,                0.98047,                      1,                  0.995,                0.74545,                0.88356,                0.35951,                 1.1368,              0.0013177,              0.0013177,              0.0013177
                    129,                0.69945,                0.33776,                 1.0122,                0.98402,                      1,                  0.995,                0.73753,                 0.8989,                0.37268,                 1.1547,              0.0013149,              0.0013149,              0.0013149
                    130,                0.67405,                0.33674,                 1.0267,                0.98563,                      1,                  0.995,                0.77075,                0.87628,                0.36844,                 1.1513,              0.0013122,              0.0013122,              0.0013122
                    131,                0.70555,                0.35256,                  1.054,                0.98576,                      1,                  0.995,                0.76222,                0.89904,                 0.3753,                 1.1619,              0.0013094,              0.0013094,              0.0013094
                    132,                0.68298,                0.34682,                 1.0439,                0.98716,                      1,                  0.995,                0.76113,                0.84913,                0.34715,                 1.1229,              0.0013067,              0.0013067,              0.0013067
                    133,                0.71301,                0.35374,                 1.0389,                0.98469,                      1,                  0.995,                0.75021,                0.88406,                0.37369,                  1.143,              0.0013039,              0.0013039,              0.0013039
                    134,                0.70868,                 0.3439,                 1.0322,                0.98541,                      1,                  0.995,                0.74194,                0.90695,                0.39185,                 1.1567,              0.0013012,              0.0013012,              0.0013012
                    135,                0.70456,                0.35605,                 1.0622,                0.98929,                      1,                  0.995,                0.77298,                0.87481,                0.35627,                 1.1461,              0.0012984,              0.0012984,              0.0012984
                    136,                0.71405,                0.35597,                 1.0398,                0.98755,                      1,                  0.995,                0.76625,                0.93421,                0.37347,                 1.1886,              0.0012957,              0.0012957,              0.0012957
                    137,                0.69985,                0.35583,                 1.0501,                0.98922,                      1,                  0.995,                0.78023,                0.88346,                0.37314,                  1.156,              0.0012929,              0.0012929,              0.0012929
                    138,                0.69688,                0.35217,                 1.0333,                0.98558,                      1,                  0.995,                0.76052,                0.90138,                 0.3583,                 1.1693,              0.0012902,              0.0012902,              0.0012902
                    139,                0.68223,                0.34862,                 1.0361,                0.98361,                      1,                  0.995,                0.74849,                0.91257,                0.35596,                 1.1622,              0.0012874,              0.0012874,              0.0012874
                    140,                0.70933,                 0.3459,                 1.0427,                0.98376,                      1,                  0.995,                0.76426,                0.88855,                0.35521,                 1.1439,              0.0012847,              0.0012847,              0.0012847
                    141,                0.68856,                0.33212,                 1.0425,                0.98224,                      1,                  0.995,                0.77418,                0.89635,                0.36627,                 1.1491,              0.0012819,              0.0012819,              0.0012819
                    142,                0.70738,                0.34842,                 1.0271,                 0.9843,                      1,                  0.995,                0.76007,                0.91091,                0.37199,                 1.1498,              0.0012792,              0.0012792,              0.0012792
                    143,                0.69242,                0.33703,                  1.032,                0.98244,                      1,                  0.995,                0.78333,                0.89894,                0.36774,                 1.1286,              0.0012764,              0.0012764,              0.0012764
                    144,                0.69653,                0.34113,                 1.0392,                0.98651,                      1,                  0.995,                0.77937,                0.91857,                0.38684,                 1.1487,              0.0012737,              0.0012737,              0.0012737
                    145,                0.70877,                0.34495,                 1.0272,                0.98571,                      1,                  0.995,                0.76997,                0.87538,                0.39677,                 1.1418,              0.0012709,              0.0012709,              0.0012709
                    146,                0.68217,                0.34599,                 1.0332,                0.98076,                      1,                  0.995,                0.78881,                0.86055,                0.39029,                 1.1358,              0.0012682,              0.0012682,              0.0012682
                    147,                0.69979,                0.34704,                 1.0412,                0.97077,                      1,                  0.995,                0.75982,                0.87712,                0.40392,                  1.148,              0.0012654,              0.0012654,              0.0012654
                    148,                0.69263,                0.33495,                 1.0203,                0.95615,                      1,                  0.995,                0.77407,                0.87568,                0.42759,                 1.1423,              0.0012627,              0.0012627,              0.0012627
                    149,                0.69874,                 0.3382,                 1.0288,                 0.9603,                      1,                  0.995,                0.77025,                0.93182,                0.40935,                  1.152,              0.0012599,              0.0012599,              0.0012599
                    150,                0.69737,                0.34185,                 1.0323,                0.96729,                      1,                  0.995,                0.78832,                0.89334,                0.39375,                 1.1386,              0.0012572,              0.0012572,              0.0012572
                    151,                0.66495,                0.32974,                 1.0303,                 0.9729,                      1,                  0.995,                0.78395,                0.84169,                0.36998,                 1.1222,              0.0012544,              0.0012544,              0.0012544
                    152,                0.68727,                0.33227,                 1.0288,                0.98185,                      1,                  0.995,                0.76583,                0.89728,                0.36756,                 1.1406,              0.0012517,              0.0012517,              0.0012517
                    153,                0.71493,                0.34604,                 1.0506,                0.98249,                      1,                  0.995,                0.76568,                0.92261,                0.37821,                 1.1604,              0.0012489,              0.0012489,              0.0012489
                    154,                0.66353,                0.32251,                 1.0435,                0.98263,                      1,                  0.995,                0.77659,                0.90167,                0.38781,                 1.1484,              0.0012462,              0.0012462,              0.0012462
                    155,                0.70083,                0.34412,                  1.037,                0.98314,                      1,                  0.995,                0.75717,                0.92508,                0.38705,                 1.1485,              0.0012434,              0.0012434,              0.0012434
                    156,                0.72353,                0.34123,                 1.0283,                0.98591,                      1,                  0.995,                0.78998,                0.91391,                0.36416,                 1.1418,              0.0012407,              0.0012407,              0.0012407
