epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,691.197,0.64168,0.36917,0.88376,0.96394,0.96667,0.97225,0.8106,0.80636,0.37394,1.01109,0.00133143,0.00133143,0.00133143
124,697.296,0.6615,0.37396,0.895,0.99435,0.96667,0.97416,0.80283,0.78682,0.34452,0.99788,0.00132868,0.00132868,0.00132868
125,702.771,0.66431,0.37637,0.90293,0.99307,0.96667,0.97316,0.80152,0.802,0.32759,0.99958,0.00132593,0.00132593,0.00132593
126,708.19,0.62169,0.35653,0.88556,0.99171,0.96667,0.97178,0.7772,0.79031,0.3389,0.97508,0.00132318,0.00132318,0.00132318
127,713.744,0.66103,0.37426,0.90795,0.99498,0.96667,0.97093,0.79892,0.74742,0.32245,0.97683,0.00132043,0.00132043,0.00132043
128,719.411,0.63446,0.3621,0.87942,0.99593,0.96667,0.97329,0.81015,0.74063,0.30777,0.97098,0.00131768,0.00131768,0.00131768
129,724.952,0.65015,0.36778,0.87506,0.99626,0.96667,0.97196,0.79046,0.75218,0.31188,0.97352,0.00131493,0.00131493,0.00131493
130,730.541,0.65428,0.36234,0.8833,0.99686,0.96667,0.97114,0.78438,0.77406,0.31974,0.98668,0.00131218,0.00131218,0.00131218
131,736.268,0.66421,0.37376,0.88296,0.99429,0.96667,0.97449,0.7908,0.80713,0.3292,1.00294,0.00130943,0.00130943,0.00130943
132,741.911,0.63454,0.35942,0.87278,0.99367,0.96667,0.97773,0.81553,0.75295,0.34068,0.97003,0.00130668,0.00130668,0.00130668
133,747.556,0.67723,0.38219,0.89945,0.9955,0.96667,0.97838,0.81817,0.75884,0.31803,0.95085,0.00130393,0.00130393,0.00130393
134,753.22,0.64944,0.38135,0.89794,0.99333,0.96667,0.97524,0.81391,0.71808,0.3135,0.93172,0.00130118,0.00130118,0.00130118
135,758.759,0.63932,0.35965,0.88506,0.99246,0.96667,0.9737,0.82501,0.68777,0.30866,0.93583,0.00129843,0.00129843,0.00129843
136,764.428,0.63016,0.35457,0.89174,0.99372,0.96667,0.97805,0.83876,0.73423,0.32437,0.94375,0.00129568,0.00129568,0.00129568
137,769.968,0.63778,0.37424,0.88329,0.99327,0.96667,0.97714,0.81603,0.75327,0.31873,0.96253,0.00129293,0.00129293,0.00129293
138,775.23,0.63688,0.36891,0.88327,0.99149,0.96667,0.97449,0.79719,0.76549,0.3295,0.973,0.00129017,0.00129017,0.00129017
139,780.552,0.61904,0.35922,0.88063,0.99578,0.96667,0.97686,0.80202,0.77264,0.31782,0.96097,0.00128742,0.00128742,0.00128742
140,786.387,0.61751,0.35824,0.8745,0.99657,0.96667,0.98035,0.81232,0.78454,0.32641,0.98534,0.00128467,0.00128467,0.00128467
141,791.833,0.63265,0.36706,0.87574,0.9953,0.96667,0.98035,0.82487,0.75377,0.32256,0.98909,0.00128192,0.00128192,0.00128192
142,797.329,0.63974,0.37553,0.88438,0.99333,0.96667,0.97544,0.78351,0.79718,0.34127,1.01039,0.00127917,0.00127917,0.00127917
143,802.714,0.64696,0.3639,0.88554,0.98318,0.96667,0.97012,0.7988,0.7309,0.34134,0.98062,0.00127642,0.00127642,0.00127642
144,808.36,0.63397,0.36897,0.8855,0.97746,0.96667,0.96898,0.76737,0.74811,0.33283,0.97742,0.00127367,0.00127367,0.00127367
145,814.3,0.61482,0.35986,0.87686,0.98173,0.96667,0.97067,0.78565,0.72299,0.3348,0.98249,0.00127092,0.00127092,0.00127092
146,819.997,0.65116,0.37303,0.88458,0.99443,0.96667,0.97504,0.78946,0.77659,0.35823,0.97753,0.00126817,0.00126817,0.00126817
147,825.868,0.62176,0.36959,0.88362,0.99733,0.96667,0.97485,0.80362,0.75003,0.33102,0.98442,0.00126542,0.00126542,0.00126542
148,831.52,0.63686,0.3681,0.87792,0.99768,0.96667,0.97485,0.78171,0.79881,0.34513,1.01057,0.00126267,0.00126267,0.00126267
149,837.042,0.63375,0.3685,0.88529,0.99793,0.96667,0.97467,0.80416,0.78237,0.32171,1.01372,0.00125992,0.00125992,0.00125992
150,842.71,0.60738,0.3537,0.88061,0.99763,0.96667,0.97449,0.79937,0.76792,0.31908,1.00964,0.00125717,0.00125717,0.00125717
151,848.277,0.59931,0.35567,0.87054,0.99675,0.96667,0.9737,0.77992,0.79493,0.32771,1.02718,0.00125442,0.00125442,0.00125442
152,854.262,0.58399,0.34914,0.87698,0.99756,0.96667,0.97055,0.79016,0.80982,0.33139,1.02928,0.00125167,0.00125167,0.00125167
153,860.071,0.60841,0.34782,0.87999,0.99752,0.96667,0.97012,0.78427,0.78412,0.33087,1.00986,0.00124892,0.00124892,0.00124892
154,865.421,0.5767,0.34081,0.85648,0.99655,0.96667,0.9686,0.80794,0.7759,0.31112,0.99427,0.00124617,0.00124617,0.00124617
155,871.171,0.6029,0.34245,0.87158,0.99578,0.96667,0.96803,0.79259,0.77043,0.32496,1.00241,0.00124342,0.00124342,0.00124342
156,876.641,0.60713,0.33946,0.86453,0.98809,0.96667,0.97449,0.80411,0.81254,0.3368,1.03186,0.00124066,0.00124066,0.00124066
157,882.294,0.61609,0.36326,0.87849,0.98677,0.96667,0.97587,0.81926,0.75078,0.32024,0.9922,0.00123791,0.00123791,0.00123791
158,887.783,0.59625,0.35708,0.87408,0.98523,0.96667,0.97385,0.77732,0.79769,0.35961,0.996,0.00123516,0.00123516,0.00123516
159,893.248,0.59311,0.34546,0.8845,0.99059,0.96667,0.97587,0.80726,0.73699,0.33008,0.98083,0.00123241,0.00123241,0.00123241
160,898.873,0.61397,0.34781,0.88888,0.98973,0.96667,0.97991,0.82316,0.76091,0.33241,0.9915,0.00122966,0.00122966,0.00122966
161,904.437,0.62367,0.35764,0.87835,0.9895,0.96667,0.98035,0.81397,0.77067,0.33841,0.99197,0.00122691,0.00122691,0.00122691
162,909.987,0.58841,0.34419,0.87316,0.98403,0.96667,0.97504,0.8037,0.77608,0.36427,0.98558,0.00122416,0.00122416,0.00122416
163,915.472,0.64099,0.36618,0.88874,0.98054,0.96667,0.97467,0.80325,0.78928,0.37013,0.98272,0.00122141,0.00122141,0.00122141
164,921.197,0.60321,0.34933,0.87105,0.9862,0.96667,0.97504,0.81255,0.77394,0.35967,1.00624,0.00121866,0.00121866,0.00121866
165,926.753,0.60012,0.3497,0.86555,0.99092,0.96667,0.97432,0.78785,0.77469,0.30994,1.02852,0.00121591,0.00121591,0.00121591
166,932.121,0.63457,0.36404,0.88144,0.99543,0.96667,0.97205,0.79778,0.78439,0.31541,1.02643,0.00121316,0.00121316,0.00121316
167,937.712,0.57521,0.35028,0.86368,0.99722,0.96667,0.97246,0.80955,0.77035,0.32645,1.02119,0.00121041,0.00121041,0.00121041
168,943.548,0.58035,0.33937,0.86573,0.99634,0.96667,0.97416,0.80087,0.79842,0.33649,1.04517,0.00120766,0.00120766,0.00120766
169,949.034,0.57906,0.34509,0.87034,0.99654,0.96667,0.97635,0.80059,0.80945,0.32795,1.05628,0.00120491,0.00120491,0.00120491
170,955.077,0.59605,0.3453,0.87712,0.99561,0.96667,0.97686,0.80424,0.8262,0.34902,1.05033,0.00120216,0.00120216,0.00120216
171,960.181,0.58732,0.3338,0.86266,0.99019,0.96667,0.9766,0.80577,0.80519,0.34075,1.03205,0.00119941,0.00119941,0.00119941
172,965.896,0.6006,0.34017,0.87815,0.98273,0.96667,0.9766,0.78291,0.80703,0.35341,0.99153,0.00119666,0.00119666,0.00119666
173,971.476,0.55568,0.33685,0.87211,0.99068,0.96667,0.9766,0.80614,0.74958,0.3275,0.9799,0.00119391,0.00119391,0.00119391
174,977.186,0.60736,0.33908,0.86639,0.99483,0.96667,0.97743,0.81688,0.75489,0.3127,0.98964,0.00119115,0.00119115,0.00119115
175,982.742,0.60034,0.35453,0.87679,0.99613,0.96667,0.97385,0.8063,0.75189,0.32132,1.00131,0.0011884,0.0011884,0.0011884
176,988.348,0.59679,0.33408,0.87314,0.99573,0.96667,0.97416,0.81021,0.75977,0.33999,0.98166,0.00118565,0.00118565,0.00118565
177,993.943,0.58938,0.3456,0.86325,0.99473,0.96667,0.97611,0.79499,0.77264,0.3308,1.00222,0.0011829,0.0011829,0.0011829
178,999.493,0.59497,0.33839,0.8629,0.99416,0.96667,0.97635,0.81118,0.79081,0.32083,1.00168,0.00118015,0.00118015,0.00118015
179,1004.91,0.59319,0.34078,0.8789,0.99135,0.96667,0.97611,0.80598,0.77416,0.33071,0.9968,0.0011774,0.0011774,0.0011774
180,1010.59,0.60061,0.34544,0.87388,0.99465,0.96667,0.97743,0.82652,0.76459,0.33645,1.0004,0.00117465,0.00117465,0.00117465
181,1016.1,0.57882,0.32833,0.87257,0.99623,0.96667,0.97911,0.82053,0.75263,0.31177,0.98186,0.0011719,0.0011719,0.0011719
