epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
122,792.87,0.41753,0.25921,0.82336,0.99819,1,0.995,0.81191,0.82874,0.31454,0.98976,0.00400255,0.00133418,0.00400255,0.00133418,0.00400255,0.00133418,0.00400255,0.00133418
123,798.846,0.41139,0.2518,0.8258,0.99786,1,0.995,0.82688,0.84164,0.31984,1.00315,0.0039943,0.00133143,0.0039943,0.00133143,0.0039943,0.00133143,0.0039943,0.00133143
124,805.314,0.40065,0.25059,0.83553,0.99788,1,0.995,0.81816,0.84538,0.32856,1.00661,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868
125,811.368,0.41151,0.24871,0.82971,0.99785,1,0.995,0.80636,0.82865,0.3027,1.00313,0.0039778,0.00132593,0.0039778,0.00132593,0.0039778,0.00132593,0.0039778,0.00132593
126,817.225,0.39046,0.2479,0.82136,0.99789,1,0.995,0.8035,0.82693,0.3067,1.00149,0.00396954,0.00132318,0.00396954,0.00132318,0.00396954,0.00132318,0.00396954,0.00132318
127,823.086,0.39771,0.25475,0.82838,0.99761,1,0.995,0.81735,0.8377,0.30945,1.0122,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
128,829.766,0.39864,0.25919,0.83581,0.99752,1,0.995,0.79818,0.84021,0.32149,1.00426,0.00395304,0.00131768,0.00395304,0.00131768,0.00395304,0.00131768,0.00395304,0.00131768
129,835.862,0.39616,0.25753,0.82578,0.99791,1,0.995,0.78777,0.86197,0.32318,1.01335,0.00394479,0.00131493,0.00394479,0.00131493,0.00394479,0.00131493,0.00394479,0.00131493
130,841.75,0.40905,0.26669,0.83512,0.99804,1,0.995,0.81021,0.82958,0.29231,1.00924,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218
131,847.627,0.38627,0.24959,0.82335,1,1,0.995,0.80981,0.83366,0.30912,1.01494,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943
132,854.286,0.39765,0.25593,0.82952,1,1,0.995,0.83032,0.82333,0.31879,1.01284,0.00392003,0.00130668,0.00392003,0.00130668,0.00392003,0.00130668,0.00392003,0.00130668
