                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.6938,                 0.4284,                 1.1645,                0.93945,                   0.95,                0.95325,                0.73931,                0.97827,                0.50069,                 1.4641,              0.0014552,              0.0014552,              0.0014552
                     79,                0.71147,                0.43737,                 1.1691,                0.94534,                   0.95,                0.95417,                0.73295,                0.96442,                0.46151,                 1.4426,              0.0014525,              0.0014525,              0.0014525
                     80,                0.66837,                0.43503,                 1.1229,                0.92706,                   0.95,                0.91452,                0.69784,                0.99145,                0.50104,                 1.4513,              0.0014497,              0.0014497,              0.0014497
                     81,                0.68268,                 0.4216,                 1.1355,                  0.932,                   0.95,                0.91952,                0.70083,                 1.0221,                0.53208,                 1.4957,               0.001447,               0.001447,               0.001447
                     82,                0.69188,                0.43471,                  1.132,                0.93004,                   0.95,                0.94076,                0.70611,                 1.0377,                0.51356,                 1.5515,              0.0014442,              0.0014442,              0.0014442
                     83,                0.72068,                0.44707,                 1.1524,                0.92872,                   0.95,                0.94119,                0.70534,                 1.0036,                0.49452,                 1.5152,              0.0014415,              0.0014415,              0.0014415
                     84,                0.71084,                0.43975,                 1.1568,                0.93417,                   0.95,                0.94917,                0.72387,                 1.0245,                 0.5229,                 1.5379,              0.0014387,              0.0014387,              0.0014387
                     85,                 0.6792,                0.41994,                 1.1212,                0.93463,                   0.95,                0.94031,                0.71971,                0.98918,                0.51696,                 1.5027,               0.001436,               0.001436,               0.001436
                     86,                  0.672,                0.40128,                 1.0926,                0.92636,                   0.95,                0.91263,                0.71118,                0.95008,                0.54102,                 1.4577,              0.0014332,              0.0014332,              0.0014332
                     87,                0.67477,                0.41977,                 1.1644,                 0.9248,                   0.95,                0.91675,                0.71757,                0.98281,                0.53915,                 1.4677,              0.0014305,              0.0014305,              0.0014305
                     88,                0.68636,                 0.4396,                  1.136,                0.93555,                   0.95,                0.91204,                 0.7073,                0.99633,                0.56816,                  1.434,              0.0014277,              0.0014277,              0.0014277
                     89,                0.69487,                0.44785,                 1.1432,                0.93514,                   0.95,                0.91204,                0.71613,                0.96662,                0.52915,                 1.4095,               0.001425,               0.001425,               0.001425
                     90,                0.71444,                0.43369,                 1.1515,                0.91991,                   0.95,                 0.9115,                0.67818,                 1.0327,                0.49575,                 1.4985,              0.0014222,              0.0014222,              0.0014222
                     91,                0.69792,                0.40674,                 1.1292,                0.91736,                   0.95,                0.91101,                0.66248,                 1.0652,                0.49854,                 1.5613,              0.0014195,              0.0014195,              0.0014195
                     92,                0.72189,                0.43895,                 1.1692,                0.91386,                   0.95,                0.92625,                0.70364,                 1.0239,                0.51614,                 1.5156,              0.0014167,              0.0014167,              0.0014167
                     93,                0.69053,                0.40601,                 1.1462,                0.90886,                   0.95,                0.93679,                0.72359,                 1.0105,                0.50153,                 1.5061,              0.0014139,              0.0014139,              0.0014139
                     94,                0.67686,                0.41512,                 1.1342,                0.91208,                   0.95,                0.95531,                0.73239,                 1.0199,                0.52528,                 1.5169,              0.0014112,              0.0014112,              0.0014112
                     95,                 0.6895,                0.40955,                 1.1475,                0.93788,                   0.95,                0.95452,                0.71977,                 1.0297,                0.52173,                 1.5222,              0.0014084,              0.0014084,              0.0014084
                     96,                0.68077,                0.42361,                 1.1586,                0.91367,                   0.95,                0.94825,                0.72645,                0.94586,                 0.5025,                 1.4423,              0.0014057,              0.0014057,              0.0014057
                     97,                0.68158,                0.42016,                 1.1621,                0.91886,                   0.95,                0.92298,                0.70972,                0.93099,                0.48314,                 1.4299,              0.0014029,              0.0014029,              0.0014029
                     98,                0.65335,                0.40025,                 1.1015,                 0.9341,                   0.95,                0.93273,                0.71189,                 0.9534,                0.51284,                 1.4775,              0.0014002,              0.0014002,              0.0014002
                     99,                0.69619,                0.42199,                  1.154,                 0.9376,                   0.95,                0.95207,                0.71928,                 0.9521,                0.52242,                 1.4703,              0.0013974,              0.0013974,              0.0013974
                    100,                0.69731,                 0.4128,                 1.1746,                 0.9392,                   0.95,                 0.9525,                0.67424,                0.97135,                0.49246,                 1.4782,              0.0013947,              0.0013947,              0.0013947
