                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.65446,                0.33628,                 1.0282,                 0.9883,                      1,                  0.995,                0.79672,                0.79502,                0.32127,                 1.1159,              0.0006438,              0.0006438,              0.0006438
                    126,                0.66622,                0.32313,                 1.0114,                0.98678,                      1,                  0.995,                0.79419,                0.81211,                0.32489,                 1.1273,             0.00063554,             0.00063554,             0.00063554
                    127,                0.66249,                0.31761,                 1.0153,                0.98606,                      1,                  0.995,                0.78261,                0.85054,                 0.3318,                 1.1481,             0.00062729,             0.00062729,             0.00062729
                    128,                0.69057,                0.32447,                 1.0169,                 0.9865,                      1,                  0.995,                0.77726,                 0.8502,                0.33021,                 1.1435,             0.00061904,             0.00061904,             0.00061904
                    129,                0.69531,                0.32932,                 1.0164,                0.98616,                      1,                  0.995,                0.78097,                0.86194,                 0.3455,                 1.1588,             0.00061079,             0.00061079,             0.00061079
                    130,                0.66561,                0.32426,                 1.0279,                0.98553,                      1,                  0.995,                0.78063,                0.85991,                0.33751,                 1.1639,             0.00060254,             0.00060254,             0.00060254
                    131,                0.68409,                 0.3293,                 1.0516,                0.98514,                      1,                  0.995,                0.77373,                0.85531,                 0.3275,                 1.1631,             0.00059429,             0.00059429,             0.00059429
                    132,                0.68398,                0.32895,                 1.0359,                0.98398,                      1,                  0.995,                 0.7929,                0.82911,                0.33696,                 1.1454,             0.00058603,             0.00058603,             0.00058603
                    133,                0.68272,                 0.3284,                 1.0266,                 0.9834,                      1,                  0.995,                0.77815,                0.83149,                0.33801,                 1.1441,             0.00057778,             0.00057778,             0.00057778
                    134,                0.66947,                 0.3141,                 1.0223,                0.98189,                      1,                  0.995,                0.77492,                 0.8506,                0.33403,                 1.1498,             0.00056953,             0.00056953,             0.00056953
                    135,                0.67903,                0.32594,                 1.0423,                0.98383,                      1,                  0.995,                0.79297,                0.82252,                0.32721,                 1.1349,             0.00056128,             0.00056128,             0.00056128
                    136,                0.68897,                0.32619,                 1.0321,                 0.9831,                      1,                  0.995,                  0.796,                0.80228,                0.32805,                  1.122,             0.00055303,             0.00055303,             0.00055303
                    137,                0.67528,                0.32574,                 1.0368,                0.98263,                      1,                  0.995,                0.78858,                0.80546,                0.32415,                  1.122,             0.00054478,             0.00054478,             0.00054478
                    138,                0.66287,                 0.3168,                 1.0234,                0.98175,                      1,                  0.995,                0.78646,                0.80909,                0.32951,                 1.1216,             0.00053652,             0.00053652,             0.00053652
                    139,                0.67823,                0.32802,                  1.035,                0.98265,                      1,                  0.995,                0.78246,                0.81184,                0.33959,                 1.1247,             0.00052827,             0.00052827,             0.00052827
                    140,                0.67558,                0.32208,                 1.0274,                0.98608,                      1,                  0.995,                0.78813,                0.81394,                 0.3359,                 1.1386,             0.00052002,             0.00052002,             0.00052002
                    141,                0.67151,                0.31702,                 1.0241,                0.98469,                      1,                  0.995,                0.79974,                0.78989,                0.33808,                 1.1236,             0.00051177,             0.00051177,             0.00051177
